current,action,reward,next
"{'next_next_pipe_top_y': 153, 'player_vel': 0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 283, 'next_next_pipe_dist_to_player': 427.0, 'player_y': 256}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 279.0, 'next_next_pipe_dist_to_player': 423.0, 'player_y': 248.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 279.0, 'next_next_pipe_dist_to_player': 423.0, 'player_y': 248.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 275.0, 'next_next_pipe_dist_to_player': 419.0, 'player_y': 240.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 275.0, 'next_next_pipe_dist_to_player': 419.0, 'player_y': 240.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -7.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 271.0, 'next_next_pipe_dist_to_player': 415.0, 'player_y': 233.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -7.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 271.0, 'next_next_pipe_dist_to_player': 415.0, 'player_y': 233.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -6.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 267.0, 'next_next_pipe_dist_to_player': 411.0, 'player_y': 227.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -6.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 267.0, 'next_next_pipe_dist_to_player': 411.0, 'player_y': 227.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 263.0, 'next_next_pipe_dist_to_player': 407.0, 'player_y': 219.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 263.0, 'next_next_pipe_dist_to_player': 407.0, 'player_y': 219.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 259.0, 'next_next_pipe_dist_to_player': 403.0, 'player_y': 211.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 259.0, 'next_next_pipe_dist_to_player': 403.0, 'player_y': 211.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 255.0, 'next_next_pipe_dist_to_player': 399.0, 'player_y': 203.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 255.0, 'next_next_pipe_dist_to_player': 399.0, 'player_y': 203.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 251.0, 'next_next_pipe_dist_to_player': 395.0, 'player_y': 195.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 251.0, 'next_next_pipe_dist_to_player': 395.0, 'player_y': 195.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 247.0, 'next_next_pipe_dist_to_player': 391.0, 'player_y': 187.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 247.0, 'next_next_pipe_dist_to_player': 391.0, 'player_y': 187.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 243.0, 'next_next_pipe_dist_to_player': 387.0, 'player_y': 187.0}"
